LONGITUDE,LATITUDE,LABEL,Name,Capacity
36° 18' 30.0000" E,0° 53' 36.0000" S,Olkaria I Geothermal Power Station,Olkaria I Geothermal Power Station,185.000000000000000
36° 18' 0.0000" E,0° 51' 49.0000" S,Olkaria II Geothermal Power Station,Olkaria II Geothermal Power Station,105.000000000000000
36° 18' 0.0000" E,0° 52' 30.0000" S,Olkaria III Geothermal Power Station,Olkaria III Geothermal Power Station,110.000000000000000
36° 18' 0.0000" E,0° 51' 49.0000" S,Olkaria IV Geothermal Power Station,Olkaria IV Geothermal Power Station,140.000000000000000
36° 18' 0.0000" E,0° 51' 49.0000" S,Olkaria V Geothermal Power Station,Olkaria V Geothermal Power Station,140.000000000000000
36° 18' 0.0000" E,0° 56' 0.0000" S,Akiira One Geothermal Power Station,Akiira One Geothermal Power Station,70.0000000000000000
36° 04' 12.0000" E,0° 11' 35.0000" S,Menengai I Geothermal Power Station,Menengai I Geothermal Power Station,35.0000000000000000
36° 03' 47.0000" E,0° 11' 46.0000" S,Menengai II Geothermal Power Station,Menengai II Geothermal Power Station,35.0000000000000000
36° 04' 54.0000" E,0° 11' 43.0000" S,Menengai III Geothermal Power Station,Menengai III Geothermal Power Station,35.0000000000000000
36° 26' 0.0000" E,0° 42' 0.0000" S,Biojoule Thermal Power Station,Biojoule Thermal Power Station,2.6000000000000001
35° 45' 0.0000" E,0° 31' 0.0000" S,Baringo Thermal Power Station,Baringo Thermal Power Station,10.8000000000000007
