LONGITUDE,LATITUDE,LABEL,County,InternalPr,PrimarySub,Ownership,PhysicalLo,IncomingVo,OutgoingVo,PlotNumber,Manned
36.29920175,-0.473947639,GILGIL ( 33 / 11 KV),Nakuru,200700319,GILGIL ( 33 / 11 KV),KPLC,KIKOPEY,33,11,2514,NO
36.38393464,-0.64586825,MARULA ( 33 / 11 KV),Nakuru,200700320,MARULA ( 33 / 11 KV),KPLC,MARULA FARM,33,11,4576,NO
36.36212622,-0.838607944,DCK ( 33 / 11 KV),Nakuru,200700322,DCK ( 33 / 11 KV),KPLC,DCK CENTRE,33,11,7853,NO
36.19759369,-0.036590722,SUBUKIA ( 33 / 11 KV),Nakuru,200700324,SUBUKIA ( 33 / 11 KV),KPLC,MUNANDA FARM,33,11,1245,NO
36.05919892,-0.285871333,NAKURU DEPOT ( 33 / 11 KV),Nakuru,200700328,NAKURU DEPOT ( 33 / 11 KV),KPLC,NAKURU TOWN,33,11,7521,NO
35.85114894,-0.201395556,RONGAI ( 33 / 11 KV),Nakuru,200700330,RONGAI ( 33 / 11 KV),KPLC,RONGAI,33,11,7852,NO
35.81742856,-0.302269667,ELBURGON ( 33 / 11 KV),Nakuru,200700331,ELBURGON ( 33 / 11 KV),KPLC,ELBURGON TOWN,33,11,9876,NO
36.59354103,-0.987936389,MAI MAHIU 66/11 SUB STATION (,Nakuru,200701140,MAI MAHIU 66/11 SUB STATION (,KPLC,MAI MAHIU TOWN,66,11,8524,YES
36.06977594,-0.313006639,MWARIKI 33/11KV  ( 33 / 11 KV),Nakuru,200701307,MWARIKI 33/11KV  ( 33 / 11 KV),KPLC,NAKURU RACE COURSE,33,11,7896,NO
36.43140364,-0.724002306,KIHOTO SUBSTATION ( 33 / 11 K,Nakuru,200701464,KIHOTO SUBSTATION ( 33 / 11 K,KPLC,NAIVASHA,33,11,7528,YES
36.31209839,-0.874888917,WELLHEAD 043 ( NONE / 33 KV),Nakuru,200701550,WELLHEAD 043 ( NONE / 33 KV),KENGEN,OLKARIA,0,33,1423,NO
36.29657967,-0.89054975,WELLHEAD037 ( NONE / 33 KV),Nakuru,200701552,WELLHEAD037 ( NONE / 33 KV),KENGEN,OLKARIA,0,33,2364,YES
36.35309908,-0.907645972,WELLHEAD 914 ( NONE / 33 KV),Nakuru,200701556,WELLHEAD 914 ( NONE / 33 KV),KENGEN,OLKARIA,0,33,7857,YES
36.24885289,-0.641281361,EBURU GENERATION POWER STN (,Nakuru,200701579,EBURU GENERATION POWER STN (,KENGEN,EBURU,33,33,1247,YES
36.25331761,-0.887891083,ORPOWER INC ( 220 / 220 KV),Nakuru,200701620,ORPOWER INC ( 220 / 220 KV),PRIVATE,OLKARIA,220,220,8572,YES
36.25595056,-0.887415917,ORPOWER INC [EARLY GENERATION,Nakuru,200701623,ORPOWER INC [EARLY GENERATION,PRIVATE,OLKARIA,33,33,9146,YES
35.94138844,-0.114421611,KABARAK 33/11 SUBSTATION ( 33,Nakuru,200701846,KABARAK 33/11 SUBSTATION ( 33,KPLC,KAMPI YA MOTO,33,11,5371,NO
36.15363125,-0.195463028,BAHATI  33/11KV  S/STN ( 33 /,Nakuru,200701984,BAHATI  33/11KV  S/STN ( 33 /,KPLC,BAHATI,33,11,2587,YES
