LONGITUDE,LAT,LABEL,NAME,Substation,PrimaryFee,PrimaySubs,County,InternalSb,CustomersS,PhysicalLo
35.67992167,0.430043611,3557 - 3557,3557 - 3557,3557,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708285,0,Kapsengut
36.55308417,0.8612125,04927 - MAGUMU REPEATER STN.,04927 - MAGUMU REPEATER STN.,4927,SATELITE EX MAGUMU,MAGUMU 33/11 KV SUBSTATION,Nakuru,300004548,182,MAGUMU
36.09713667,0.282397222,05001 - NAWASCO WATER TANKS.,05001 - NAWASCO WATER TANKS.,5001,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607364,42,NAKURU
36.11849267,0.293853889,05002 - Free Area,05002 - Free Area,5002,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607393,2476,social hall free area
36.08940056,0.282010556,05003 - Mcn Borehole No. 4,05003 - Mcn Borehole No. 4,5003,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300607366,884,NAKURU
36.10134736,0.285086972,05004 - Police Dog Unit_Nakuru,05004 - Police Dog Unit_Nakuru,5004,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607397,583,Kenya Police Dog unit.
36.08554378,0.279067222,05005 - WATER PUMP KIAMAINA R,05005 - WATER PUMP KIAMAINA R,5005,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300610229,261,NAKURU
36.08982111,0.286236389,05006 - Maasai Avenue,05006 - Maasai Avenue,5006,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607402,683,58 estate
36.09171056,0.276179167,05007 - NAKURU HIGH SCHOOL,05007 - NAKURU HIGH SCHOOL,5007,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300612299,111,NAKURU GIRLS' HIGH SCHOOL
36.08400778,0.287279722,05008 - Maasai Avenue,05008 - Maasai Avenue,5008,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607420,637,opposite  nakuru hill academy
36.09630889,0.2743175,05009 - Nakuru High Sch,05009 - Nakuru High Sch,5009,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300612297,88,NAKURU BOYS
36.07604556,0.289183333,05010 - Bondeni Rd./Masai Av,05010 - Bondeni Rd./Masai Av,5010,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607422,1992,NAKURU
36.08373511,0.273117222,05011 - Crater Climb,05011 - Crater Climb,5011,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300610218,504,NAKURU
36.08288583,0.292624444,05012 - Shuleni Road,05012 - Shuleni Road,5012,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610124,4966,kisulisuli area
36.09086556,0.249939167,05013 - KIRIMA MARKET,05013 - KIRIMA MARKET,5013,MILIMANI  11KV  EX  NAKURU,LANET SUBSTATION,Nakuru,300610223,122,KIRIMA MARKET
36.08286722,0.299976667,05014 - Kivumbini Estate,05014 - Kivumbini Estate,5014,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610119,13991,NAKURU
36.08035444,0.281356389,05015 - War Memorial Hospital,05015 - War Memorial Hospital,5015,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300610217,525,NAKURU
36.07564889,0.284323472,05016 - Market S/Station,05016 - Market S/Station,5016,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300607433,605,Matatu stage
36.07797278,0.279650833,05017 - Menengai Drive,05017 - Menengai Drive,5017,MILIMANI  11KV  EX  NAKURU,LANET SUBSTATION,Nakuru,300610215,123,NEXT TO TNA-NAKURU OFFICE
36.07192528,0.286096,05018 - Rift Valley Sport Club,05018 - Rift Valley Sport Club,5018,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300663492,310,INSIDE RIFT VALLEY SPORTS CLUB
36.07197806,0.272910278,05019 - Crescent Road,05019 - Crescent Road,5019,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300610210,1029,milimani guest house
36.07191639,0.290205278,05020 - St Xaviers Primary,05020 - St Xaviers Primary,5020,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610041,754,st xavier primary
36.07290861,0.278343333,05021 - General Hospital,05021 - General Hospital,5021,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300610207,351,nakuru PGH
36.07044361,0.294554167,05022 - Stadium Road,05022 - Stadium Road,5022,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610042,0,NAKURU
36.06674514,0.281918333,05023 - Nakuru Railway Station,05023 - Nakuru Railway Station,5023,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300610203,656,NAKURU RAILWAYS
36.07461389,0.298830833,05024 - Freehold Area,05024 - Freehold Area,5024,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610044,754,afuraha martenity
36.06625556,0.2800725,05025 - SHOW GROUND,05025 - SHOW GROUND,5025,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300610204,149,Nakuru Showground
36.07762889,0.308609167,05026 - Lake View Est._Nakuru,05026 - Lake View Est._Nakuru,5026,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610127,1290,GAME PARK
36.07278028,0.31810475,05028 - Farm Race Track,05028 - Farm Race Track,5028,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610130,99,NAKURU
36.05746056,0.3280375,05030 - Ronda Next To St Luk,05030 - Ronda Next To St Luk,5030,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610140,510,RONDA NAKURU
36.06916414,0.28919,05032 - Central Police_Nakuru,05032 - Central Police_Nakuru,5032,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300639781,279,nakuru county police headquar
36.06468083,0.285557722,05034 - Ndimu House,05034 - Ndimu House,5034,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610028,911,NAKURU
36.05855472,0.284637167,05035 - Chery Blossom,05035 - Chery Blossom,5035,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609974,449,nearby abc feeds limited
36.06398056,0.290469167,05036 - Nyakio Farmers,05036 - Nyakio Farmers,5036,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300610024,717,OPPOSITE CHARISMATA REVIVAL C
36.05897667,0.297345833,05038 - IBRAHIM ESTATE-LOWER,05038 - IBRAHIM ESTATE-LOWER,5038,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300653492,1837,wedtside school
36.05689083,0.284179972,05040 - Elliots,05040 - Elliots,5040,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609979,179,ELIOTS INDUSTRY
36.0566475,0.285712194,05041 - Printing House,05041 - Printing House,5041,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609973,835,near ceramic tiles
36.0546575,0.285616472,05043 - Samcon,05043 - Samcon,5043,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609976,454,samcom
36.05400778,0.282401944,05048 - F.I.T.C,05048 - F.I.T.C,5048,MENENGAI 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300609981,856,FITC
36.06080278,0.288626944,05050 - Asosciated Motors,05050 - Asosciated Motors,5050,NAKURU TOWN 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300639956,1242,INDUSTRIAL AREA
36.14140472,0.2997075,05055 - Lanet,05055 - Lanet,5055,CAMP  EX LANET,LANET SUBSTATION,Nakuru,300611511,1040,Lanet center
36.14498056,0.297083611,05057 - Kenya Riffles Gate,05057 - Kenya Riffles Gate,5057,CAMP  EX LANET,LANET SUBSTATION,Nakuru,300611517,461,outside kenya rifles
36.14944778,0.298948333,05059 - Lanet,05059 - Lanet,5059,CAMP  EX LANET,LANET SUBSTATION,Nakuru,300611563,384,LANET ARMY RIFLES
36.15549028,0.289268611,05061 - Luck Hurst Farm,05061 - Luck Hurst Farm,5061,CAMP  EX LANET,LANET SUBSTATION,Nakuru,300611568,178,LUCK HURST FARM...LANET
36.04256889,0.354151667,05062 - KAMASAAI  B/H,05062 - KAMASAAI  B/H,5062,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300612561,12,NAKURU
36.16202222,0.2909475,05063 - Aftc Lanet,05063 - Aftc Lanet,5063,CAMP  EX LANET,LANET SUBSTATION,Nakuru,300611570,2068,lanet Armed forces camp
36.13577558,0.297459167,05065 - Lanet Petrol Station,05065 - Lanet Petrol Station,5065,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607323,405,lanet
36.13959111,0.292664167,05067 - Preirie Estate No 2,05067 - Preirie Estate No 2,5067,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607324,267,LANET AREA
36.13202778,0.288504444,05069 - Hiland,05069 - Hiland,5069,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607327,305,OFF NAKURU NAIROBI ROAD
36.12260056,0.290077778,05071 - Kiratina_Free Area,05071 - Kiratina_Free Area,5071,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607335,713,REHEMA GOSPEL MINISTRIES
36.11192694,0.288015,05075 - Free Area,05075 - Free Area,5075,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607347,527,NEAR BISMAK PETROL STATION
36.10829806,0.279851389,05077 - HYRAX PRIMARY SCHOOL,05077 - HYRAX PRIMARY SCHOOL,5077,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607358,200,hyrax primary school
36.07675417,0.303049167,05079 - Flamingo Estate,05079 - Flamingo Estate,5079,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300610114,1983,flamingo estate
36.10477722,0.266298611,05087 - Nakuru Worker'S Estate,05087 - Nakuru Worker'S Estate,5087,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300612308,2254,BETWEEN NEW ELIMU HIGH SCHOOL
36.13804444,0.261060556,05089 - Menengai East Oberho,05089 - Menengai East Oberho,5089,MAILI SABA TOWNFEEDER EXBAHATI,BAHATI  33/11KV  S/STN,Nakuru,300612279,869,HA FRAME
36.14433917,0.256968889,05091 - ENGASUHRA APPLICANT,05091 - ENGASUHRA APPLICANT,5091,MAILI SABA TOWNFEEDER EXBAHATI,BAHATI  33/11KV  S/STN,Nakuru,300657125,105,st georges senior girls
36.14892389,0.248931389,05093 - Engashura Farm Hse &,05093 - Engashura Farm Hse &,5093,MAILI SABA TOWNFEEDER EXBAHATI,BAHATI  33/11KV  S/STN,Nakuru,300611946,358,murunyu
36.15740417,0.245051389,05095 - Murunyu,05095 - Murunyu,5095,MAILI SABA TOWNFEEDER EXBAHATI,BAHATI  33/11KV  S/STN,Nakuru,300611947,468,MURUNYU
36.1475275,0.2317325,05097 - Engashura Farm Boreh,05097 - Engashura Farm Boreh,5097,MAILI SABA TOWNFEEDER EXBAHATI,BAHATI  33/11KV  S/STN,Nakuru,300611956,919,kwa amos
36.14663889,0.217197639,05099 - NGECHA FARM,05099 - NGECHA FARM,5099,MAILI SABA TOWNFEEDER EXBAHATI,BAHATI  33/11KV  S/STN,Nakuru,300611958,32,Ngecha farm
36.15125572,0.212290833,05101 - NGECHA FARM,05101 - NGECHA FARM,5101,MAILI SABA TOWNFEEDER EXBAHATI,BAHATI  33/11KV  S/STN,Nakuru,300640036,52,NGECHA FARM
36.16066389,0.203658611,05103 - R.V FAMERS,05103 - R.V FAMERS,5103,MAILI SABA TOWNFEEDER EXBAHATI,BAHATI  33/11KV  S/STN,Nakuru,300611970,259,mung'etho area
36.17375667,0.083497833,05129 - Kihoto,05129 - Kihoto,5129,KIRENGERO 11KV EX SUBUKIA,SUBUKIA,Nakuru,300610379,328,KIHOTO
36.17931722,0.082453889,05131 - Kihoto Farm,05131 - Kihoto Farm,5131,KIRENGERO 11KV EX SUBUKIA,SUBUKIA,Nakuru,300610378,233,kihoto
36.06949694,0.303286389,05132 - RONDA,05132 - RONDA,5132,RACE TRACK 11KV EX MWARIKI,NAKURU DEPOT,Nakuru,300610085,2064,sundowner hotel
36.16816589,0.066040833,05133 - Mahinga Farm,05133 - Mahinga Farm,5133,KIRENGERO 11KV EX SUBUKIA,SUBUKIA,Nakuru,300610373,213,MAHINGA FARM
36.05575361,0.296434167,05134 - NAKURU TANNERS,05134 - NAKURU TANNERS,5134,SOUTH 11KV EX NAKURU,NAKURU DEPOT,Nakuru,300640064,1072,Nakuru tanners
36.18285111,0.064372778,05135 - Maombi,05135 - Maombi,5135,KIRENGERO 11KV EX SUBUKIA,SUBUKIA,Nakuru,300610371,175,near miki hills academy
36.12649972,0.101459278,05137 - Solai,05137 - Solai,5137,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300611207,546,within the provincial adminis
36.12983028,0.141275278,05139 - Solai,05139 - Solai,5139,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300611199,117,Solai
36.125305,0.130938333,05141 - Solai,05141 - Solai,5141,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300611202,20,SOLAI
36.13154889,0.1053875,05143 - Solai,05143 - Solai,5143,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300611204,103,millmet near main house
36.13906944,0.108287778,05145 - GLENCAIR FARM POLLAND,05145 - GLENCAIR FARM POLLAND,5145,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300611206,116,SOLAI
36.13462386,0.088818056,05147 - Solai Centre,05147 - Solai Centre,5147,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300611209,110,SOLAI CENTRE
36.24584389,0.036424167,05149 - P.C.E.A School_Subukia,05149 - P.C.E.A School_Subukia,5149,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300611244,63,pcea church
35.80171114,0.299105278,05155 - Elburgon,05155 - Elburgon,5155,MOLO 11KV EX ELBURGON,ELBURGON,Nakuru,300610785,3383,ST PETER CLEVERS PRIMARY SCHO
36.32012361,0.497980833,05165 - Gilgil Town/G P O To,05165 - Gilgil Town/G P O To,5165,GILGIL TOWN 11KV EX GILGI,GILGIL,Nakuru,300607790,580,GILGIL TOWN
36.328105,0.503133056,05167 - BONDENI ESTATE GILGIL,05167 - BONDENI ESTATE GILGIL,5167,GILGIL TOWN 11KV EX GILGI,GILGIL,Nakuru,300607803,2410,JAMIA MOSQUE
36.34209972,0.4964575,05169 - Gilgil Kenyatta Barr,05169 - Gilgil Kenyatta Barr,5169,GILGIL TOWN 11KV EX GILGI,GILGIL,Nakuru,300607849,495,next to nyahururu road
