LONGITUDE,LATITUDE,LABEL,NAME,Substation,PrimaryFee,PrimaySubs,County,InternalSb,CustomersS,PhysicalLo
36° 35' 31.3723" E,0° 59' 16.6990" S,13539 - MAIMAHIU HOSPITAL,13539 - MAIMAHIU HOSPITAL,13539,TOWN 11KV EX MAI MAHIU,MAI MAHIU 66/11 SUB STATION,Nakuru,300004453,599.00000000000,NEAR MAI MAHIU SS
36° 35' 10.6755" E,0° 58' 57.1356" S,13538 - MAI MAHIU TOWNSHIP,13538 - MAI MAHIU TOWNSHIP,13538,TOWN 11KV EX MAI MAHIU,MAI MAHIU 66/11 SUB STATION,Nakuru,300004459,2696.00000000000,mai mahiu town
36° 34' 57.1485" E,0° 58' 48.1044" S,13537 - MAI MAHIU DISPENSARY,13537 - MAI MAHIU DISPENSARY,13537,TOWN 11KV EX MAI MAHIU,MAI MAHIU 66/11 SUB STATION,Nakuru,300004463,726.00000000000,MAIMAHIU MARTHY HARDWARE
36° 33' 11.1037" E,0° 51' 40.3656" S,04927 - MAGUMU REPEATER STN.,04927 - MAGUMU REPEATER STN.,04927,SATELITE EX MAGUMU,MAGUMU 33/11 KV SUBSTATION,Nakuru,300004548,182.00000000000,MAGUMU
36° 17' 18.1344" E,0° 42' 38.5116" S,05931 - SHALIMAR PUMP HOUSE,05931 - SHALIMAR PUMP HOUSE,05931,NORTH SHORE 11KV EX MARUL,MARULA,Nakuru,300605852,440.00000000000,shalimar farm
36° 18' 14.3503" E,0° 53' 22.6669" S,05762 - Watchman'S Gate Olka,05762 - Watchman'S Gate Olka,05762,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607199,0.00000000000,OLKARIA 1 POWER STN
36° 18' 31.8866" E,0° 53' 36.7561" S,05759 - Olkaria Stand By Sup,05759 - Olkaria Stand By Sup,05759,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607202,23.00000000000,olkaria 1
36° 18' 26.5641" E,0° 53' 32.8705" S,05593 - Geothermal  Power Ho,05593 - Geothermal  Power Ho,05593,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607203,0.00000000000,olkaria 1
36° 18' 43.8786" E,0° 53' 49.8180" S,05527 - Olkaria Geothermal,05527 - Olkaria Geothermal,05527,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607204,0.00000000000,olkaria
36° 18' 29.4032" E,0° 53' 44.5689" S,17419 - Olkaria Pump House,17419 - Olkaria Pump House,17419,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607205,221.00000000000,olkaria1pump  house
36° 17' 32.2804" E,0° 51' 36.6435" S,05526 - Olkaria,05526 - Olkaria,05526,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607206,702.00000000000,olkaria
36° 16' 45.4586" E,0° 51' 2.1693" S,17446 - Oserian Development,17446 - Oserian Development,17446,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607208,200.00000000000,parklands
36° 17' 22.8135" E,0° 51' 0.4040" S,17726 - OSERIAN KASIRIKA GATE,17726 - OSERIAN KASIRIKA GATE,17726,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607209,0.00000000000,KASIRIKA GATE-OSERIAN FARM
36° 16' 8.8077" E,0° 51' 24.3198" S,05743 - Geothermal Ol Karia,05743 - Geothermal Ol Karia,05743,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607210,500.00000000000,OSERIAN FARM
36° 15' 58.1104" E,0° 51' 30.2158" S,17011 - 302 Olkaria Reservoi,17011 - 302 Olkaria Reservoi,17011,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607211,246.00000000000,OSERIANI
36° 15' 47.8635" E,0° 51' 36.3327" S,17936 - Oserian Dev.Company,17936 - Oserian Dev.Company,17936,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607212,0.00000000000,oserian
36° 18' 16.3135" E,0° 50' 22.6207" S,17462 - OSERIAN STAFF HOUSES,17462 - OSERIAN STAFF HOUSES,17462,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607213,0.00000000000,oserian
36° 18' 8.9301" E,0° 50' 9.0591" S,17276 - Oserian Dev.Company,17276 - Oserian Dev.Company,17276,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607214,60.00000000000,oserian
36° 17' 51.1553" E,0° 49' 36.1565" S,05473B - Oserian Dev.Company,05473B - Oserian Dev.Company,05473B,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607215,477.00000000000,oserian
36° 17' 45.7298" E,0° 50' 2.3309" S,17078 - Oserian Dev Company,17078 - Oserian Dev Company,17078,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607217,860.00000000000,OSERIAN FARM
